city,latitude,longitude
Albuquerque,35.085334,-106.605553
Atlanta,33.748995,-84.387982
Austin,30.267153,-97.743061
Baltimore City,39.290385,-76.612189
Boston,42.360082,-71.05888
Charlotte,35.227087,-80.843127
Chicago,41.878114,-87.629798
Cleveland,41.49932,-81.694361
Dallas,32.776664,-96.796988
Detroit,42.331427,-83.045754
District of Columbia,38.907192,-77.036871
District of Columbia (DCPS),38.907192,-77.036871
Fresno,36.746842,-119.772587
Hillsborough County (FL),27.99036,-82.301773
Houston,29.760427,-95.369803
Jefferson County (KY),38.19381,-85.643487
Los Angeles,34.052234,-118.243685
Miami-Dade,25.76168,-80.19179
Milwaukee,43.038902,-87.906474
New York City,40.712784,-74.005941
Philadelphia,39.952584,-75.165222
San Diego,32.715738,-117.161084
DoDEA,33.403303,-84.592322
